industry,model,split,MSE,RMSE,MAE,MAPE,SMAPE,MSRE,R2
H,sarimax,train,69039.60581928409,262.75388830478624,217.36425717673814,287.27283697878454,152.12509184800024,17.636151236302453,-16.3957385490466
H,sarimax,validation,,,,,,,
H,sarimax,test,4016.163178141856,63.37320552206473,56.37085813270562,,200.0,,0.0
I,arima,train,4841.922494910591,69.58392411261808,40.1818861415388,105.77147655288397,198.89232397893352,1.1214777179515245,-0.518055544283262
I,arima,validation,,,,,,,
I,arima,test,7875.4798669443035,88.74390044923823,69.5977811745493,65.35909035053874,122.45077090372398,0.6018831798214848,-1.4796850966449315
I,sarima,train,4841.922494910591,69.58392411261808,40.1818861415388,105.77147655288397,198.89232397893352,1.1214777179515245,-0.518055544283262
I,sarima,validation,,,,,,,
I,sarima,test,7875.4798669443035,88.74390044923823,69.5977811745493,65.35909035053874,122.45077090372398,0.6018831798214848,-1.4796850966449315
I,sarimax,train,4841.922494910591,69.58392411261808,40.1818861415388,105.77147655288397,198.89232397893352,1.1214777179515245,-0.518055544283262
I,sarimax,validation,,,,,,,
I,sarimax,test,7875.4798669443035,88.74390044923823,69.5977811745493,65.35909035053874,122.45077090372398,0.6018831798214848,-1.4796850966449315
J,arima,train,116136.92361111108,340.7886788188702,336.75,5051.5856471699935,199.4749521367159,8717.012915563559,-7.409929657924696
J,arima,validation,,,,,,,
J,arima,test,9936.45833333333,99.6817853638935,92.33333333333331,5549.999999999998,200.0,3080.2499999999986,-7153.249999999999
J,sarima,train,116136.92361111108,340.7886788188702,336.75,5051.5856471699935,199.4749521367159,8717.012915563559,-7.409929657924696
J,sarima,validation,,,,,,,
J,sarima,test,9936.45833333333,99.6817853638935,92.33333333333331,5549.999999999998,200.0,3080.2499999999986,-7153.249999999999
J,sarimax,train,116136.92361111108,340.7886788188702,336.75,5051.5856471699935,199.4749521367159,8717.012915563559,-7.409929657924696
J,sarimax,validation,,,,,,,
J,sarimax,test,9936.45833333333,99.6817853638935,92.33333333333331,5549.999999999998,200.0,3080.2499999999986,-7153.249999999999
K,arima,train,3511293.388888898,1873.8445476850254,1794.77777777778,11520.099782396186,173.15643581428088,85900.34382265607,-75.71808350157272
K,arima,validation,,,,,,,
K,arima,test,149933.41666666718,387.2123663658835,328.16666666666697,54.641734210238944,37.57810670462629,0.5244567156128003,-0.29261798102073544
K,sarima,train,3511293.388888898,1873.8445476850254,1794.77777777778,11520.099782396186,173.15643581428088,85900.34382265607,-75.71808350157272
K,sarima,validation,,,,,,,
K,sarima,test,149933.41666666718,387.2123663658835,328.16666666666697,54.641734210238944,37.57810670462629,0.5244567156128003,-0.29261798102073544
K,sarimax,train,3511293.388888898,1873.8445476850254,1794.77777777778,11520.099782396186,173.15643581428088,85900.34382265607,-75.71808350157272
K,sarimax,validation,,,,,,,
K,sarimax,test,149933.41666666718,387.2123663658835,328.16666666666697,54.641734210238944,37.57810670462629,0.5244567156128003,-0.29261798102073544
L,arima,train,6582.166666666667,81.1305532254444,53.44444444444444,131.29807584167818,177.77777777777777,2.693740657916437,-0.7666176818994384
L,arima,validation,,,,,,,
L,arima,test,655.0,25.592967784139454,17.0,78.23129251700682,137.65432098765433,0.6253875699939841,-0.3024745912505524
L,sarima,train,6582.166666666667,81.1305532254444,53.44444444444444,131.29807584167818,177.77777777777777,2.693740657916437,-0.7666176818994384
L,sarima,validation,,,,,,,
L,sarima,test,655.0,25.592967784139454,17.0,78.23129251700682,137.65432098765433,0.6253875699939841,-0.3024745912505524
L,sarimax,train,6582.166666666667,81.1305532254444,53.44444444444444,131.29807584167818,177.77777777777777,2.693740657916437,-0.7666176818994384
L,sarimax,validation,,,,,,,
L,sarimax,test,655.0,25.592967784139454,17.0,78.23129251700682,137.65432098765433,0.6253875699939841,-0.3024745912505524
M,arima,train,9524764.955215419,3086.221792939616,2829.7698412698414,14892.169205737391,189.8187657731233,66707.5050656747,-211.99310321029031
M,arima,validation,,,,,,,
M,arima,test,1140475.8605442178,1067.9306440702119,927.7142857142857,39.98049467585057,46.76831558904209,0.16316797826113094,0.007434295594831664
M,sarima,train,8174199.645188715,2859.055726142587,2665.792248269648,14841.850678428435,188.82876750135316,68024.19293250247,-181.79171789282455
M,sarima,validation,,,,,,,
M,sarima,test,1101390.070865533,1049.4713292251165,915.8636177162143,40.01825511939959,46.26126567590951,0.16220800746698003,0.04145098608939701
M,sarimax,train,8174199.645188715,2859.055726142587,2665.792248269648,14841.850678428435,188.82876750135316,68024.19293250247,-181.79171789282455
M,sarimax,validation,,,,,,,
M,sarimax,test,1101390.070865533,1049.4713292251165,915.8636177162143,40.01825511939959,46.26126567590951,0.16220800746698003,0.04145098608939701
N,arima,train,14494.0,120.39102956615996,72.55555555555556,100.00000000000003,200.0,1.0000000000000004,-0.5703667043425338
N,arima,validation,,,,,,,
N,arima,test,1.262177448353619e-29,3.552713678800501e-15,3.552713678800501e-15,,200.0,,0.0
N,sarima,train,14494.0,120.39102956615996,72.55555555555556,100.00000000000003,200.0,1.0000000000000004,-0.5703667043425338
N,sarima,validation,,,,,,,
N,sarima,test,1.262177448353619e-29,3.552713678800501e-15,3.552713678800501e-15,,200.0,,0.0
N,sarimax,train,14494.0,120.39102956615996,72.55555555555556,100.00000000000003,200.0,1.0000000000000004,-0.5703667043425338
N,sarimax,validation,,,,,,,
N,sarimax,test,1.262177448353619e-29,3.552713678800501e-15,3.552713678800501e-15,,200.0,,0.0
O,arima,train,2887842903.8055553,53738.65372155833,27338.944444444445,100.0,200.0,1.0,-0.15510269151241896
O,arima,validation,,,,,,,
O,arima,test,0.0,0.0,0.0,,0.0,,1.0
