industry,industry_name,model,split,MSE,RMSE,MAE,MAPE,SMAPE,R2
F,Construction,prophet,train,38.790576457283,6.228208125719869,5.220437498979378,16.496905994746466,179.77555287242478,0.8575040048507971
F,Construction,prophet,test,8159.606802869225,90.33054191617155,66.85191498150043,207.36526035572865,167.26934122539046,-302.4564513463761
F,Construction,lstm,train,44.64030454611337,6.681340026230769,4.718450218439102,15.335298492794946,173.80125761024178,0.8677324309744789
F,Construction,lstm,test,4159.188349706706,64.49176962765641,62.339730729038514,776.1550040407612,200.0,-153.6805584601667
F,Construction,gru,train,26.637177801140155,5.161121758023167,3.6816752704658673,7.121344269031569,172.48346772253456,0.9210750287373625
F,Construction,gru,test,5508.724474799383,74.22078196030667,70.44783273960154,929.9478617581453,200.0,-203.86991848427456
F,Construction,nbeats,train,371.36284961299106,19.27077708897571,17.01369857788086,74.63014148530506,188.43656507221962,-0.10033436922367733
F,Construction,nbeats,test,728.8359328401517,26.99696154829561,26.911863962809246,221.08341563831675,200.0,-26.105468576699856
G,Wholesale & Retail Trade,prophet,train,317.7176186076867,17.824635160577248,13.804432933299609,162.1406746014883,97.3252817576541,0.8893997614500975
G,Wholesale & Retail Trade,prophet,test,7168.500025997928,84.66699490355099,83.7968474780744,5043.957471933136,200.0,-8063.562529247668
G,Wholesale & Retail Trade,lstm,train,211.58357624920515,14.545912699078224,10.846930312391903,136.12774762395006,129.02746931019473,0.9028723910343533
G,Wholesale & Retail Trade,lstm,test,54.90674658954905,7.409908676194941,7.397488826264937,353.8870230317116,200.0,-60.77008991324268
G,Wholesale & Retail Trade,gru,train,490.3733285041539,22.144374646942595,18.450595052979356,352.3332986964388,128.02620222816648,0.7748937335191065
G,Wholesale & Retail Trade,gru,test,348.17762141268935,18.659518252427883,15.287699938441316,1490.3564907610416,192.11211752893004,-390.69982408927547
G,Wholesale & Retail Trade,nbeats,train,0.0432739143185502,0.2080238311313158,0.14359924622944423,12.362364144724342,95.05980813038431,0.999980135075213
G,Wholesale & Retail Trade,nbeats,test,0.8424478835566399,0.9178495974595402,0.7376548051834106,74.54561591148376,172.9469966065578,0.05224613099878017
H,Transportation & Storage,prophet,train,365.58597374104687,19.12030265819678,14.292289812061663,14.242192807485097,97.27293596056164,0.9078842073194239
H,Transportation & Storage,prophet,test,60194.93850891783,245.34656816209562,212.0754820084476,,200.0,
H,Transportation & Storage,lstm,train,92.06896380797075,9.595257360173866,6.7221255962670385,20.077264433058428,123.8563687916445,0.7655939298248693
H,Transportation & Storage,lstm,test,44.96441996377104,6.705551428761921,6.006506470342477,,200.0,
H,Transportation & Storage,gru,train,157.348331797275,12.54385633676004,8.083372761162796,41.34737130092538,131.65490834700287,0.5993937307457926
H,Transportation & Storage,gru,test,12.415030985248727,3.5234969824378632,2.9122067995679877,,200.0,
